赵丽颖,内地,1010,240
张天爱,香港,1386,330
迪丽热巴,内地,1763,420
Angelababy,内地,884,210
陈学冬,内地,1206,300
安悦溪,内地,1419,330
姜妍,内地,1461,360
郑爽,内地,1038,240
杨紫,内地,1287,300
杨洋,内地,1248,300
李易峰,内地,927,210
关晓彤,内地,862,210
胡歌,内地,1189,270
何明翰,内地,1676,390
李沁,内地,1239,300
徐梵溪,内地,909,210
鹿晗,内地,1646,390
吴磊,内地,1628,390
宋轶,内地,1428,330
乔欣,内地,1619,390
唐嫣,内地,1126,270
古力娜扎,内地,1856,450
王鸥,内地,1075,240
马可,内地,1583,390
张馨予,内地,1131,270
马天宇,内地,1557,360
张铭恩,内地,1741,420
麦迪娜,内地,1418,330
邓伦,内地,771,180
刘涛,内地,748,180
杨幂,内地,1170,270
白敬亭,内地,1669,390
张檬,内地,1136,270
吴优,内地,1617,390
邢昭林,内地,1600,390
尹正,内地,1571,390
罗云熙,内地,1639,390
贾青,内地,1411,330
侯明昊,内地,1546,360
陈瑶,内地,1557,360
张翰,台湾,1092,270
杨烁,内地,1494,360
蒋欣,内地,1514,360
张云龙,内地,1526,360
胡冰卿,内地,1547,360
王子文,内地,735,180
靳东,内地,1420,330
牟星,内地,1426,330
江疏影,内地,811,180
黄子韬,内地,1538,360
袁姗姗,内地,1321,330
张彬彬,内地,1576,390
王源,内地,1667,390
谭松韵,内地,730,180
唐艺昕,内地,882,210
罗晋,内地,1238,300
王凯,内地,1599,390
易烊千玺,内地,1758,420
秦俊杰,内地,1553,360
赵圆瑗,内地,1339,330
毛晓彤,内地,1152,270
李纯,内地,1447,360
吴倩,内地,1434,330
梁振伦,内地,800,180
陈翔,内地,1632,390
颖儿,内地,1626,390
陈晓,内地,1459,360
张若昀,内地,1416,330
米露,内地,1493,360
晁然,内地,1131,270
吴亦凡,内地,1273,300
陈梦希,内地,1010,240
乔任梁,内地,1461,360
孙佳雨,内地,1469,360
李一桐,内地,1299,300
李宏毅,内地,1461,360
林秋楠,内地,1226,300
茅子俊,内地,1663,390
蔡文静,内地,1413,330
唐娜,内地,1862,450
刘昊然,内地,1503,360
范冰冰,内地,1443,360
马思纯,内地,798,180
赖雨濛,内地,777,180
徐璐,内地,1171,270
于朦胧,内地,1547,360
阚清子,内地,1623,390
宋茜,内地,720,180
孙耀琦,内地,1378,330
杨菲洋,内地,1305,300
陈赫,韩国,1535,360
张萌,内地,1395,330
徐海乔,内地,1613,390
王丽坤,内地,1298,300
王妍之,内地,1475,360
张艺兴,内地,927,210
戴向宇,内地,1402,330
张一山,内地,1131,270
刘诗诗,内地,1115,270
刘芊含,内地,1074,240
斓曦,内地,1412,330
李晨,内地,1446,360
蒋劲夫,内地,1494,360
熊梓淇,内地,1598,390
曹曦月,内地,1413,330
李依晓,内地,1423,330
王珊,内地,1918,450
杨玏,内地,1664,390
杨蓉,内地,1451,360
余男,内地,1278,300
李心艾,内地,1414,330
林更新,内地,1582,390
蔡徐坤,内地,1764,420
雷佳音,内地,1588,390
何杜娟,内地,1491,360
白冰,内地,1412,330
王洋,内地,1790,420
井柏然,内地,1440,360
吕一,内地,1499,360
张雪迎,内地,1525,360
赵韩樱子,内地,1438,330
孙怡,内地,1511,360
张子萱,内地,1486,360
柳岩,内地,1345,330
姜潮,内地,1621,390
周冬雨,内地,1132,270
米勒,内地,1576,390
黄晓明,内地,1357,330
焦俊艳,内地,1470,360
杨子姗,内地,1354,330
万茜,内地,1507,360
李溪芮,内地,1468,360
刘美含,内地,1515,360
景甜,内地,879,210
刘萌萌,内地,1557,360
梁洁,内地,1448,360
杨旭文,内地,1550,360
毛俊杰,内地,1336,330
高云翔,内地,1450,360
娄艺潇,内地,1487,360
鞠婧祎,内地,1704,420
陈小纭,内地,1371,330
袁冰妍,内地,1500,360
郑业成,内地,1510,360
李晟,内地,1518,360
高圆圆,内地,1403,330
宋威龙,内地,1236,300
欧豪,内地,1548,360
邓超,内地,1164,270
林允,内地,1413,330
徐冬冬,内地,1461,360
黄礼格,内地,998,240
陈钰琪,内地,1333,330
付辛博,内地,1423,330
沈梦辰,内地,1696,420
施诗,内地,1485,360
张哲瀚,内地,1594,390
张歆艺,内地,1462,360
薛之谦,内地,907,210
鄂博,内地,1694,420
邢菲,内地,1557,360
热依扎,内地,1474,360
蓝盈莹,内地,1537,360
牛骏峰,内地,1567,390
舒畅,内地,1430,330
于和伟,内地,1497,360
马苏,内地,1290,300
李小萌,内地,1399,330
白雪,内地,1892,450
刘敏涛,内地,1533,360
张浩,内地,1805,450
范世錡,内地,1418,330
吕佳容,内地,1470,360
张嘉倪,内地,1506,360
李菲儿,内地,1475,360
海陆,内地,1594,390
王亭文,内地,896,210
金晨,内地,1586,390
陆毅,内地,1413,330
郭俊辰,内地,1388,330
马薇,内地,1199,270
范丞丞,内地,1113,270
任嘉伦,内地,1601,390
张丹峰,内地,1510,360
刘奕君,内地,1598,390
韩栋,内地,1598,390
孔垂楠,内地,1591,390
杨舒,内地,1767,420
王晓晨,内地,1477,360
施予斐,内地,1357,330
盛一伦,内地,1543,360
任天野,内地,1610,390
穆婷婷,内地,1408,330
孙俪,内地,1126,270
刘庭羽,内地,1632,390
严屹宽,内地,1546,360
袁弘,内地,1419,330
李砚,内地,1904,450
韩东君,内地,1586,390
韩雪,内地,1342,330
康杰,内地,1854,450
李佳航,内地,1500,360
于明加,内地,1421,330
陈洁,内地,1784,420
张芷溪,内地,1580,390
于晓光,内地,1487,360
李小璐,内地,1360,330
张维娜,内地,1340,330
郑恺,内地,1594,390
胡一天,内地,1165,270
林源,内地,1791,420
刘亦菲,内地,1270,300
白百何,内地,1488,360
苏青,内地,1480,360
蒋依依,内地,1473,360
朱一龙,内地,1669,390
宋小宝,内地,1489,360
张子枫,内地,1155,270
王传君,内地,1237,300
高伟光,内地,1566,390
蓝波,内地,1728,420
李健,内地,1546,360
李兰迪,内地,1663,390
李佳奇,内地,1911,450
晏紫东,内地,1340,330
于震,内地,1684,420
李进荣,内地,1025,240
米热,内地,1593,390
王俊凯,内地,1241,300
宋祖儿,内地,1707,420
孙骁骁,内地,1546,360
刘芮麟,内地,1549,360
黄渤,内地,1474,360
李小冉,内地,1366,330
何泓姗,内地,1533,360
王力可,内地,1280,300
康磊,内地,1193,270
丁程鑫,内地,898,210
秦海璐,内地,1614,390
叶祖新,内地,1659,390
于毅,内地,1575,390
闫妮,内地,1470,360
孙红雷,内地,1538,360
刘波,内地,1822,450
石悦安鑫,内地,880,210
李倩,内地,1635,390
王千源,内地,1544,360
孙雪宁,内地,1415,330
陈紫函,内地,1417,330
祝绪丹,内地,1299,300
母其弥雅,内地,1465,360
秦语,内地,862,210
刘楚恬,内地,1193,270
姚星彤,内地,1445,360
刘娜萍,内地,778,180
刘晓洁,内地,1441,360
